Chunk_Text,Page_Number
"2,885,071 3 to provide closed cells for each of the articles is accom- plished so that the tear tapes B1, B2, etc. are each located to extend parallel and closely adjacent to the edge of a sealed zone of the next succeeding article-containing cell to be removed from the package. Each tear tape ex- 5 tends around the entire periphery of a cell, just outside of the edge of an adjacent sealed zone, and is coextensive with the fully projected length of the packaging material which constitutes each cell. Thus, tear tape B1, for open- ing the cell C1, is located closely adjacent the edge of 10 of the package after removal of cells. sealed zone D2, tear tape B2 for opening the cell C2 is located close to the sealed zone D3, and so forth. 4 the fold-lines 34. As shown in Fig. 5, sections of the bot- tom wall may be folded up and over the remainder of the diminishing package, the tabbed formation of the end walls 28 and 30 permitting adjacent tabs to bypass each other to allow folding without interference. If desired, the bottom wall may be scored or perforated along the lines 34 to permit successive removal of sec- tions of the carton, and therefore diminution in the size of the carton to correspond to the size of the remainder As a result of the described relationship of tear tapes with respect to the packaging material of each of the cells, tape end and pulling, as shown in Fig. 3, causes a cell to be opened for access to the article, and simultaneously, and in the same motion, the packaging material of a cell is cleanly separated from the remainder of the package. It is believed that the advantages of a package made in accordance with the invention will be apparent from the foregoing detailed description. It will also be ap- parent that the illustrated and described preferred em- and the sealed zones defining the cells, grasping a tear 15 bodiment may be variously modified without departing from the spirit and scope of the invention. While it is preferred, for reasons of more simplified manufacture and easier manipulation in use, to provide the top and bottom layers by use of a single sheet of the invention to use two sheets to provide such layers, each sheet having transversely spaced tear tapes coexten- sive therewith which are matched when adhering the edges of the sheets and sealing the zones. In this form The path of tearing by the tear tape B1, for example, is 20 packaging material as shown, it is within the scope of guided by the edge, designated 16, of sealed zone D2 to provide a straight, sharply defined edge for the remainder of the package. The same action of separation and opening, with the formation of sharp, neat edges for the tapes B2, B3, and B4 are successively grasped and pulled. size-diminishing package, of course, occurs as the tear 25 of the invention, two ends of tearing means require grasp- In order that the cigars may be removed from their cells in proper sequence, or as in the illustrated embodi- ment, from right to left, the packaging material may be imprinted with instructions, or with numbers on the cells. 30 If the cell Cs were first opened, the packaging material for such cell would be in the form of extended flaps, in- stead of only the adhered edges of the sealed zone, or at most, extremely short plied edges. ing and pulling for the opening of each of the cells and the successive and simultaneous removal of the material of each cell. Such form of the invention is shown in Figs. 6, 7 and 8. A pair of sheets 36 and 38 are provided with trans- versely spaced tear strings E1, E2, E3, etc. and F1, F2, F3, etc., respectively, extending across the entire width of the sheets and extending beyond at least one edge of each sheet to allow them to be grasped for the tearing The described package, with many more article-con- 35 function. The sheets with the strings secured thereto taining closed cells, may be rolled up into a coil or spiral for insertion into a suitable container. The orientation for the opening and separation of the cells in the sequence desired, coupled with the provision of substantially rigid means to support and protect a 40 adhering the sheets 36 and 38 to each other at their trans- package of a commercially suitable number of cigars, preferably is accomplished by supporting the flexible, cellular package within a carton E, as shown. The car- ton comprises a bottom wall 18 having a linear area co- extensive with the linear dimensions of the connected 45 as previously described. A pair of tear strings E1F1, E2F2, etc. is provided for each of the cells, and the tear strings for each cell are located to extend parallel and closely adjacent to the edge of the sealed zone of the next. succeeding article-containing cell to be opened and 50 removed from the package. To open the cell H1, for example, the exposed end of the tear string E1 is grasped and pulled across the package. This results in the ad- jacent portion of the sheet 36 being severed across its entire width. As shown in Fig. 8, the end of the tear article-containing cells. The bottom wall is provided with an upstanding side wall 20, which is folded at 22, to provide a horizontally extending portion 24. The edge of the connected cells, or the flap constituting the sealed zone De, is secured to the portion 24 in any suitable man- ner, as by adhesive, heat-sealing, or by means of staples. The opposite side of the cellular package is left free or unattached to thereby indicate, even without numbering of the cells or otherwise providing instructions for the se- are disposed on opposite sides of spaced, parallel ar- ranged articles G1, G2, etc., with the tear strings on the sides of the sheets in juxtaposition to the articles. Cells H1, H2, H3, etc. are provided for the spaced articles by verse edges and intermediate zones J1, J2, J3, etc., the clos- ing of the cells being completed by sealing the edges of the sheets at 40 and 42. The sealing of the zones to pro- vide a closed cell for each of the articles is accomplished quence in which they are to be opened, that the articles 55 string F1 is then grasped and pulled across the package, are to be used in the sequence starting with cell C1. The whereupon the packaging material comprising the opened cell H1 is completely separated from the remainder of the package. carton is provided with an opposite side wall 26 extending upwardly from the bottom wall 18, the side wall preferably having a height at least equal to the diameter of a cigar. - The terms ""tear strip means"" and ""tear strips"" refer to The carton is also provided with end walls 28 and 30 60 tearing strings of textile or metal, tear tapes, or the like. extending vertically upward from the bottom wall, and The invention is applicable to a wide variety of articles, other than the cigars, and having any desired configura- tion. adjacent the smoking and lighting ends, respectively, of the cigars. As shown in Figs. 2 and 3, the end walls 28 and 30 are die-cut to provide substantially triangular- These, and other changes will be apparent from the 65 foregoing detailed description, and such changes are con- templated within the spirit and scope of the invention, as sought to be defined in the following claims. shaped tabs 32, the tabs diminishing in width from bot- tom to top. The bottom wall is provided with trans- versely spaced fold-lines 34, which are spaced apart a distance substantially equal to the distance between, and I claim: are coincident with, the center lines of adjacent sealed zones D2 and D3, D3 and D4, etc. The tabs 32 are each located between, or are defined by, each pair of adjacent fold-lines 34. 1. A package comprising a plurality of articles en- 70 closed in substantially flexible packaging material pro- viding top and bottom layers, said layers being sealed to each other in spaced parallel zones intermediate adjacent articles and extending substantially the entire extent of the package to provide, connected, closed cells for each After a cell is opened, and the packaging material thereof is separated from the remainder of the package, as shown in Fig. 3, the carton is successively folded at 75 of the articles, and tear strip means within each of said",62
"2,885,071 5 cells and secured to each of said layers for completely separating the packaging material of a cell from the re- mainder of the package and simultaneously opening such cell for access to the article therein, said tear strip means in a cell comprising a pair of juxtaposed tear strip por- 5 tions located adjacent to and extending substantially paral- lel with respect to the edge of the sealed zone for the next succeeding cell to be similarly separated and opened. 6 to provide closed parallel cells for each of said articles, and tearing means within each of said cells and secured to each of said layers for completely separating the pack- aging material of a cell from the remainder of the pack- age and simultaneously opening such cell for access to the article therein, said tearing means comprising a pair of juxtaposed tear strips extending around the entire pe- riphery of the cell, coextensively with each of said top and bottom layers and adjacent to and substantially paral- 2. In combination, a package as set forth in claim 1 supported in a carton, one end of said package being se- 10 lel with respect to the edge of the sealed zone for the cured to the carton, the other end being free or unat- next succeeding cell to be similarly separated and opened. tached, said carton having a bottom wall and a pair of opposite end walls extending therefrom, said bottom wall 5. A cigar package comprising a group of three or more cigars enclosed in a single sheet of substantially being provided with transversely spaced fold-lines sub- stantially coincident with the sealed zones, said end walls 15 flexible packaging material folded into a flattened tube being formed to provide spaced tabs located between said fold-lines to enable folding the carton up and over the remaining package after removal of cells from the un- attached side of the package. 3. A package comprising a plurality of articles en- closed in a single sheet of substantially flexible packaging material folded into a flattened tube providing top and bottom layers on the sides of the articles, said layers be- ing sealed to each other in spaced parallel zones inter- mediate adjacent articles and extending substantially the 25 entire extent of the package and at the ends of the tube to provide connected, closed cells for each of the articles, and spaced tear strip means, one within each of said cells, and adhered to said sheet and coextensive with the length thereof for completely and successively separating the 30 packaging material of each of the cells from the re- mainder of the package and simultaneously opening each cell for access to the article therein, said tear strip means each extending coextensively with said top and bottom layers, and each comprising a pair of juxtaposed tear strip 35 portions adjacent to and substantially parallel with respect to the edge of the sealed zone for the next succeeding cell to be similarly separated and opened. providing top and bottom layers on opposite sides of the cigars, said layers being sealed to each other in spaced parallel zones intermediate adjacent, parallel arranged cigars and extending substantially the entire extent of the package and at the ends of the tube to provide connected, closed cells for each of the cigars, said zones normally lying in the same plane, and spaced tear tapes, one with- in each of said cells, adhered to said sheet and coextensive with the length thereof for completely separating the packaging material of a cell from the remainder of the package and simultaneously opening such cell for access to the cigar therein, said tear tapes each comprising a pair of juxtaposed tape portions extending coextensively with said top and bottom layers and adjacent to and sub- stantially parallel with respect to the edge of the sealed zone for the next succeeding cell to be similarly separated and opened. 20 References Cited in the file of this patent UNITED STATES PATENTS 4. A package comprising a group of three or more elongated articles enclosed in a pair of sheets of substan- tially flexible packaging material providing top and bot- tom layers, said layers being sealed to each other in spaced parallel zones intermediate adjacent articles and extending substantially the entire extent of the package 595,763 1,589,345 1,815,800 40 1,830,571 1,887,503 2,135,518 2,447,096 2,833,401 Chope Dec. 21, 1897 Anchors June 22, 1926 Respess July 21, 1931 Sullwald Nov. 3, 1931 Freedman Nov. 15, 1932 Jacobstein Nov. 8, 1938 Schneider Aug. 17, 1948 Lefebvre May 6, 1958",63
"United States Patent [19] Mikhail [54] INDIVIDUALLY WRAPPED CIGARETTES IN CIGARETTE PACK OR BOX [76] Inventor: Ameer G. Mikhail, 945 Riverside Dr., Unit #15-A, Methuen, Mass. 01844 [21] Appl. No .: 568,294 [22] Filed: Jan. 5, 1984 [51] Int. C1.5 B65D 85/10 [52] U.S. Cl. 206/257; 206/820 [58] Field of Search 206/257, 256, 258, 820, 206/390, 273 [56] References Cited U.S. PATENT DOCUMENTS 1,830,571 11/1931 Sullwald 206/258 1,855,555 4/1932 Miller 206/631 2,023,542 12/1935 Peck 206/806 2,758,710 8/1956 Arens 206/390 3,107,782 10/1963 Jaroff et al. 206/820 3,162,539 12/1964 Repko 206/820 3,165,249 1/1965 Peck 206/820 3,249,212 5/1966 Tamarin 206/273 3,371,775 3/1968 Butler 206/258 3,409,721 11/1968 Applezweig 40/312 4,109,826 8/1978 Maisonneuve 426/115 FOREIGN PATENT DOCUMENTS 1953696 9/1979 Fed. Rep. of Germany 206/273 [11] Patent Number: 5,005,698 [45] Date of Patent: Apr. 9, 1991 3006232 8/1981 Fed. Rep. of Germany .. 206/256 Primary Examiner-Stephen Marcus [57] ABSTRACT The common cigarettes in cigarette packs and boxes are individually wrapped by a thin foil-type wrapping ma- terial and each is totally sealed from all four sides to preserve tobacco freshness and aroma and to prevent tobacco brittleness if the cigarettes are stored for ex- tended period of time or if the cigarette package is opened but the contents are consumed long time after the opening. The cigarettes are packed in flexible strips having flexible foldings which allow compacting the cigarettes for packaging in the least volume and allow the separation of individual cigarettes without breaking the total seal of any adjacent cigarettes. With the ciga- rettes sealed inside the strip, the usual aluminum foil- type lining of the cigarette box is no longer needed. The cigarette strips are then packaged inside a soft package or flip-top box having perforated slots on one of its surfaces to allow the easy opening of the package for pulling of one end of the strip for separation of one or more cigarettes for consumption without destroying either the package or the seal of the remaining ciga- rettes. 2 Claims, 2 Drawing Sheets IO II",64
"U.S. Patent Apr. 9, 1991 Sheet 1 of 2 5,005,698 A FIG.IA FIG.IB FIG.IC 5 14 10 -13 14 15 C 15 #13 17 12 13 12 12 FIG.2D 14 14 12 14 7 B B 13 14 12 ,14 FIG.2C FIG.2A C 14 14 14 12 14 FIG.2E -FIG.2F ,14 13 1 18' '19 FIG.2F 13 FIG.2B",65
"U.S. Patent Apr. 9, 1991 Sheet 2 of 2 5,005,698 20 24 28 21 22 1 1 1 1 23 1 -1 - 1 4-27 ++26 1 1 1 1 1 30 7 FIG.3A 1 25 FIG.3B 29 20 21 ,13 28 24 30+ 26 27 23 13 25 FIG.3C FIG.3D 29",66
"5,005,698 1 INDIVIDUALLY WRAPPED CIGARETTES IN CIGARETTE PACK OR BOX BACKGROUND OF THE INVENTION 2 minum or transparent sulluphane sheets, among other possibilities. The cigarette strips are then packaged inside soft packs or flip-top boxes, as commonly used. The strips 5 may be packed in one piece containing the desired num- ber of cigarettes in a package, or cut into strips of smaller numbers of cigarettes which then should add up to the designated number printed on the package. These soft and flip-top boxes have lines of weakness (perfora- 10 tion) on their surfaces such as to allow the easy make of an opening on each package through a gentle pull or pushing action. This opening is then used to pull one tip end of the cigarette strip from inside the package. Once the tip end of the cigarette strip is reached, one or more Cigarettes in cigarette packages are usually shipped overseas or consumed locally after long months of stor- age and transportations. It is not unusual that some packages are consumed one or two years after manufac- turing. The tobacco in these cigarettes usually loses its aroma and becomes brittle and dry due to the evapora- tion of its aromic oils. The existing art of individual cigarette packaging offers cumbersome packaging that necessitates elaborate cigarette boxes with serrated knives, or cigarette strips that are hard and rigid. One 15 number of cigarettes can be separated from the rest of the strip by pulling along the line of perforation on the strip. The remaining cigarettes are still fully sealed and can be consumed any long time later without loss in tobacco freshness. Also shipments of such packages can has always to keep in mind that the more complex or elaborate the package is, the more costly usually it is. The present invention presents a flexible cigarette strip having each cigarette totally sealed, with flexible fold- 20 be shipped and stored overseas for many months before ings between each cigarette to allow the sealing and also allow the separation of each individual cigarette being consumed with no loss in tobacco freshness .. without affecting the total seal of each adjacent ciga- BRIEF DESCRIPTION OF THE DRAWINGS rette. The cigarette strip and the seal folds are made FIG. (1A) shows an isometric for the common ciga- flexible to allow the compacting of the desired number 25 rette box with the flip-top structure. of cigarette in the least volume. The cigarette strip in FIG. (1B) shows an isometric for the common ciga- rette soft pack. then packaged inside typical soft package or ""hard"" flip-top box with provided special perforation which FIG. (1C) shows cross sectional view of FIG. (1A) at allows the opening of the cigarette package with a gen- the A-A plane. tle pull. The cigarette strip is then pulled and one or 30 FIG. (2A) shows frontal view of the cigarette strip, shown outside the cigarette box. more cigarettes are separated from the strip without breaking the seals of the remaining cigarettes and with- FIG. (2B) shows downward view of FIG. (2A) at the B-B plane. out having to tear or rip-off the cigarette package. The remaining cigarettes are totally sealed and can be stored FIG. (2C) shows side view of FIG. (2A) at the C-C or consumed long periods after the manufacturing date, 35 plane. without loss to tobacco freshness. The present invention FIG. (2D) shows an enlargement for details of part of FIG. (2B). offers improved convenience in an improved package, without the complexity of an elaborate cigarette pack- FIG. (2E) shows an expanded (stretched) view of the enlargement of FIG. (2D), showing the flexible and age. Thus, the present invention yields itself to be more convenient, economic, and therefore, proves to be of 40 corrugated seam junction. more practical use and of more marketing value. The FIG. (2F) shows details of the corrugated seam junc- tion of FIG. (2E). following list provide list of some of the related art of interest: FIG. (3A) shows an isometric for the new cigarette soft pack with perforated opening. 45 FIG. (3B) shows an isometric for the new flip-top cigarette box with the perforated opening. U.S. Pat. No. 1,830,571 Sullwald, G. Nov. 03, 1931 U.S. Pat. No. 2,023,542 Peck, R. L. Dec. 10, 1935 U.S. Pat. No. 3,107,782 Jaroff, D. B. et al Oct. 22, 1963 U.S. Pat. No. 3,165,249 Peck, S. M. Jan. 12, 1965 U.S. Pat. No. 3,371,775 Butler, R. L. Mar. 05, 1968 U.S. Pat. No. 3,409,721 Applezweig, N. Nov. 05, 1968 U.S. Pat. No. 4,109,826 Maisonneuve, L. V. Aug. 29, 1978 FIG. (3C) shows an isometric for the new soft ciga- rette pack, with the cigarette strip shown coming out from the perforated opening. 50 FIG. (3D) shows an isometric for the new flip-top cigarette box with the cigarette strip shown coming out from the perforated opening. SUMMARY OF THE INVENTION DETAILED DESCRIPTION OF THE INVENTION 55 To preserve tobacco freshness of cigarettes for com- mon cigarettes packed in typical cigarette flip-top ciga- rette box 10 (FIG. (1A)) or soft cigarette pack 11 (FIG. (1B)), each cigarette 12 is wrapped and totally sealed in tinuous strip 13 as shown in FIGS. (1C),(2A), (2B), (2C) and (2D). The cigarette strip 13 may also be cut into 7-cigarette and 6-cigarette patches (or into any other number if so desired) of strips to fill the typical existing A cigarette strip which totally encloses and seals each cigarette within, which also has flexible foldings be- tween each cigarette. These flexible foldings contain lines of seals (seams) for sealing the individual cigarette and lines of weakness (perforation) to enable the separa- 60 a thin foil-type paper in a side-by-side form in one con- tion of individual cigarettes. The strips may be made of soft, flexible foil-type sheets that can preserve the freshness of the cigarette tobacco by not allowing the surrounding air to get through to the cigarettes. The seam sealing the ciga- 65 cigarette boxes or packs, if so desired. rettes can be made by pressure or hot pressing among many other methods applicable, depending on the foil sheet material used. The foil sheets may be of thin alu- The cigarette strip 13 is made of thin flexible foil-type sheets of material with enough slack between each two cigarettes to allow: the formation of a seal between each",67
"5,005,698 3 4 cigarette, the folding of the excess slack material to surface. These perforations are intended to allow the opening of the pack by a gentle push, then this opened portion 26 of the surface is then used as a tap to be bent outwards to allow the pulling of the tip end of the ciga- form flexible folds 14, and to allow a line of perforation to be made for separation of adjacent cigarettes. Two sheets of the foil sheet may cover the top and bottom ""surfaces"" of the stream of cigarettes and then the two 5 rette strip. For the 27,28, and 29 are improved flip-top sheets are sealed by appropriate means through at least two seam lines 15 and 16 near the upper and lower ends of the cigarette stream, respectively, as well as along each side of the long side of each cigarette. cigarette box 21 similar lines of perforations placed on the back-surface 30 of the box, so as not to interfere with the opening of the box from the top side, if one desires to open the box from the flip-top side instead. FIG. (2A) shows the frontal view of the cigarette 10 strip in a compacted configuration. FIG. (2B) shows a bottom view of the strip as seen from a plane section B-B. The flexible foldings 14 between cigarettes are folded in an accordion-type manner for compactness. FIG. (2C) shows a side view of the strip at plane C-C. 15 being pulled outside the box. FIG. (3C) shows the soft pack 20 with the opening tap area 26 being opened outwards and a portion of the strip 13 being shown pulled outside the pack. FIG. (3D) shows the flip-top box with the opening tap area 30 being bent outwards and a portion of the cigarette strip Although FIG. (2C) shows a cigarette with filter tip 17, the same design is also applicable to cigarettes without filter tips. In fact, the invention will be of greater value for cigarettes without filter tips where the tobacco be- What is claimed: 1. A thin foil-type wrapper for use in packaging com- mon cigarettes in cigarette packs or boxes for preserv- ing tobacco freshness, said wrapper comprising: an comes more dry and brittle faster than for cigarettes 20 enclosure which totally wraps each cigarette individu- with the filter tip. FIG. (2D) shows a close-up of two adjacent ciga- rettes of FIG. (2B), still in the compacted configuration. FIG. (2E) shows the same two adjacent cigarettes in the ""stretched"" configuration. FIG. (2F) shows an enlarge- 25 maining cigarettes to remain sealed, said seam lines ment of the folding between cigarettes, showing the location of the line of seal 18 and the line of weakness arranged along the long side of each cigarette and defin- ing connecting surfaces between each cigarette which are foldable and flexible; said connecting surfaces de- fined by a plurality of fold areas so that said connecting (perforation) 19 for the separation of cigarettes. With the cigarettes now enclosed inside the cigarette strip, the usual aluminum foil-type liner used (in the prior art) 30 surfaces can be compacted linearly and stretched lin- inside the cigarette boxes and soft packs is no longer needed. ally, said enclosure defined by seam lines forming an individual compartment for each cigarette; a perfora- tion line included in said seam line to permit separation of each individual cigarette while permitting the re- The cigarette strips have then to be packed in pack- ages for retail marketing. To allow for dispensing of the 2. The wrapped cigarette strip of claim 7, said wrapped cigarettes being packaged inside a cigarette cigarettes, the common cigarette flip top box 10 and the 35 pack or box made of thin material, in an appropriate soft pack 11 are herein improved by having lines of weakness (perforations) on one of their surfaces, as shown in the improved flip-top cigarette box 20 of FIG. (3A) and in the soft pack case 21 of FIG. (3B). FIG. early or curvilinearly without separation of adjacent cigarettes. size, with one of its surfaces being perforated along a line parallel to the longest side of the box and also perfo- rated along a short distance along the shortest or the median side near the top and bottom of the cigarette (3A) shows the perforations 23 on the smaller side-sur- 40 box, such that it allows the opening of the cigarette box face 22 of the box, with the line of perforation being parallel to the longer side of the soft pack, while the through said surface by means of a gentle push to allow said continuous strip of sealed cigarettes to be pulled, separated and used without opening the cigarette box. shorter lines of perforation 24 and 25 being located near the top and bottom of the shorter side of that soft pack * 45 50 55 60 65",68
"United States Patent Campbell et al. US005613505A [19] [11] Patent Number: 5,613,505 [45] Date of Patent: Mar. 25, 1997 [54] INDUCTIVE HEATING SYSTEMS FOR SMOKING ARTICLES [75] Inventors: John M. Campbell; Grier S. Fleischhauer, both of Midlothian; Charles T. Higgins, Richmond; Robert L. Ripley, Midlothian; David E. Sharpe, Chesterfield; Michael L. Watkins, Chester; Susan E. Wrenn, Chesterfield, all of Va. [73] Assignee: Philip Morris Incorporated, New York, N.Y. [21] Appl. No .: 225,120 [22] Filed: Apr. 8, 1994 Related U.S. Application Data [63] Continuation-in-part of Ser. No. 105,346, Aug. 10, 1993, Pat. No. 5,479,948, and a continuation-in-part of Ser. No. 118,665, Sep. 10, 1993, Pat. No. 5,388,594, and a continu- ation-in-part of Ser. No. 943,504, Sep. 11, 1992, Pat. No. 5,505,214. [51] [52] U.S. Cl. 131/194; 128/203.27; 128/203.21; 219/600 [58] Field of Search 131/194, 270, 131/273; 128/203.27, 202.21; 219/600, 606 Int. Cl. A24F 47/00 [56] References Cited U.S. PATENT DOCUMENTS 3,443,049 5/1969 Hoagland . 8/1976 Weichselbaum . 3,976,529 4,103,144 7/1978 Pizzarello . 4,355,222 10/1982 Geithman et al. . 4,467,165 8/1984 Kiuchi . 4,488,335 12/1984 Fox . 4,521,659 6/1985 Buckley . 4,765,859 8/1988 Heath et al. . 4,789,767 12/1988 Doljack . 5,060,671 10/1991 Counts et al. . 5,075,529 12/1991 Kudo . 10 11 - 12 5,101,086 3/1992 Dion et al. . 5,236,108 8/1993 House . FOREIGN PATENT DOCUMENTS 1060598A 4/1992 China . 0239802A2 10/1987 European Pat. Off. . 0378997 4/1990 European Pat. Off. . 449790A2 10/1991 European Pat. Off. . (List continued on next page.) OTHER PUBLICATIONS Brezovich, ""Temperature Distributions in Tumor Models Heater."" Mar./Apr. 1984, pp. 145-152. Duarte, ""A Design Procedure For a Self Oscillating Hybrid Inverter."" 1991, pp. 350-355. Gorbachev, ""Compensation Of Varying Load In A Thyris- tor."" v. 56, No. 3, pp. 27-28. Katagiri, ""Rapid Reinforcement For Fusion Mass Spliced Fibers Using Low-Power."" Jun. 1, 1985, pp. 1708-1712. Matthes, ""Thyristorised Converters For Inductive Heating For Hot Forging."" 1975, pp. 80-86. Mioduszewski, ""Inductive Heating Of Spent Granular Acti- vated Carbon."" Mar. 1982, pp. 1-96. Stauffer, ""Observations On The Use Of Ferromagnetic."" 1984. pp. 76-90. Xu, ""The High-Frequency Inductive Electric Heater And Its Application."" Apr. 1992, pp. 39-42. Primary Examiner-Jennifer Bahr Attorney, Agent, or Firm-James T. Moore; James E. Schardt; Charles E. B. Glenn [57] ABSTRACT An induction heating source is provided for use with an electrical smoking article. The induction heating source provides an alternating electromagnetic field which induc- tively heats a susceptor in thermal proximity with tobacco flavor medium to generate aerosols. A plurality of induction heaters are employed and/or the tobacco flavor medium is translated with respect to the induction heater or susceptor. The tobacco flavor medium can form an intimate structure with the susceptor and can take the form of a cylindrical cigarette or a web. 42 Claims, 18 Drawing Sheets C 6 10 5 11 -12 20 20 LC",69
"5,613,505 Page 2 FOREIGN PATENT DOCUMENTS 3735704A1 10/1987 Germany . 45-28471 9/1970 Japan . 0640297A1 1/1995 European Pat. Off. . 2-98301 4/1990 Japan . 243784A1 11/1987 German Dem. Rep. . 2-263773 10/1990 Japan . 3711234 10/1988 German Dem. Rep. . 621141 8/1978 U.S.S.R. . 301092A7 1/1992 German Dem. Rep. . 864597 9/1981 U.S.S.R. . 2911565 9/1980 Germany . WO94/06313 3/1994 WIPO . 3038069A1 4/1982 Germany . WO94/06314 3/1994 WIPO .",70
"U.S. Patent Mar. 25, 1997 Sheet 1 of 18 10 12 C 11 B 11 5,613,505 10 5 12 20 20 LC FIG. 1",71
"U.S. Patent Mar. 25, 1997 Sheet 2 of 18 C 10 B 32- -32 12 > 30- 34- 34 LC FIG. 2 5,613,505 10 12 30",72
"U.S. Patent Mar. 25, 1997 Sheet 3 of 18 5,613,505 - - 11 - FIG. 3 - 12 10",73
"U.S. Patent Mar. 25, 1997 Sheet 4 of 18 5,613,505 100 C A 1 1 -106 102 .104. 114 1 -B B 110 -120 FIG. 4",74
"U.S. Patent Mar. 25, 1997 Sheet 5 of 18 110 104 106 -B I 5,613,505 100 + LC 120 C 1 A - A FIG. 5",75
"U.S. Patent Mar. 25, 1997 Sheet 6 of 18 235 224 LC C 1 1 FIG. 6 5,613,505 - 240 230 220) 222 221)",76
"U.S. Patent Mar. 25, 1997 Sheet 7 of 18 5,613,505 LC 235 222 230 240- 224 - - C - - -- 220 221 222 FIG. 7",77
"U.S. Patent Mar. 25, 1997 Sheet 8 of 18 5,613,505 310 300 LTM FIG. 8",78
"U.S. Patent Mar. 25, 1997 Sheet 9 of 18 5,613,505 310 SM TM FIG. 9",79
"U.S. Patent Mar. 25, 1997 TM 310 Sheet 10 of 18 5,613,505 400 FIG. 10A TM",80
"U.S. Patent Mar. 25, 1997 Sheet 11 of 18 5,613,505 400 TM - 310 FIG. 10B",81
"U.S. Patent Mar. 25, 1997 Sheet 12 of 18 5,613,505 310 SM SM SM SM -TM FIG. 10C",82
"U.S. Patent Mar. 25, 1997 Sheet 13 of 18 5,613,505 516 5 -500 518 G 512 W - 510 514- IS 0 -504 502 FIG. 11",83
"U.S. Patent Mar. 25, 1997 Sheet 14 of 18 5,613,505 W TM FIG. 12A W TM 531- FIG. 12B TM 531- -541 FIG. 12C TM 531 -541 FIG. 12D 551 W TM 70 -541 FIG. 12E W TM -541 FIG. 12F -551",84
"U.S. Patent Mar. 25, 1997 - 592 Sheet 15 of 18 5,613,505 591 TM FIG. 12G",85
"U.S. Patent Mar. 25, 1997 W- 1510- Sheet 16 of 18 5,613,505 500 516 518 512 SM 0 a 514- IS -504 502 FIG. 13",86
"U.S. Patent BATTERY 600 LC CIRCUIT 640 Mar. 25, 1997 CONTROL CIRCUITRY 610 Sheet 17 of 18 SENSOR 620 INDUCTION HEATER 650 FIG. 14 5,613,505 MOTOR/ GEARING 630",87
"U.S. Patent Mar. 25, 1997 Sheet 18 of 18 5,613,505 FET HARD SWITCHED FULL BRIDGE WITH RESONANT COMMUTATED LOAD POWER INPUT (+) G FET GATE DRIVE TRANSFORMER DRIVER CONTROL LOGIC PROCESSOR 611 * HEATER ENABLE, POWER ON TIME CURRENT FEEDBACK POWER RETURN (-) SIGNAL CONDITIONING TRANSLATOR LOAD I TO VFEEDBACK POWER DELIVERY CONTROL/LIGHTER LOGIC 612 618 VOLTAGE FEEDBACK TARGET SIGNATURE PROCESSOR 624 SIGNAL CONDITIONING TRANSLATOR LOAD I & V VS. FREQUENCY (LOAD IMPEDANCE> 622 D - S -615 D G S D G 5 D G S COUPLING CAPACITOR LOAD I RF CURRENT TRANSFORMER 616 WORK COIL 614 FIG. 15",88
